seg_id,district
SEG_648340b7c9,TIRUCHCHIRAPPALLI
SEG_123b2b44b9,THANJAVUR
SEG_3fb538288a,THANJAVUR
SEG_6df2e697ff,TIRUCHCHIRAPPALLI
SEG_9d020e2145,ARIYALUR
SEG_ab78ab7e1a,ARIYALUR
SEG_f61ae4f707,ARIYALUR
SEG_87b459f32b,THANJAVUR
SEG_654c905372,ARIYALUR
SEG_2befafdfc8,THANJAVUR
SEG_5569cce92a,ARIYALUR
SEG_4d003adafb,ARIYALUR
SEG_5a834c58e1,THANJAVUR
SEG_6fb1b95415,THANJAVUR
SEG_71bae4a275,NAGAPATTINAM
SEG_598abeea3f,NAGAPATTINAM
SEG_fac2965ece,NAGAPATTINAM
SEG_779e263c8f,NAGAPATTINAM
SEG_76b0208f11,NAGAPATTINAM
SEG_6a9b62fef3,NAGAPATTINAM
SEG_580e50be4b,NAGAPATTINAM
SEG_b74d1cf534,NAGAPATTINAM
SEG_beab74e820,NAGAPATTINAM
SEG_a6f515d015,NAGAPATTINAM
SEG_4ad2497e18,NAGAPATTINAM
SEG_15ae5292fc,THANJAVUR
SEG_f1441af152,THANJAVUR
SEG_9e41a122f4,THANJAVUR
SEG_26361d92e5,NAGAPATTINAM
SEG_cb9b5817f8,THANJAVUR
SEG_a8042e12f9,THANJAVUR
SEG_3c212a3f46,THANJAVUR
SEG_6fdd8f884b,THANJAVUR
SEG_8f718f6c70,NAGAPATTINAM
SEG_4a5c626861,NAGAPATTINAM
SEG_fd63a66a3f,NAGAPATTINAM
SEG_197066d776,NAGAPATTINAM
SEG_de7f067d27,NAGAPATTINAM
SEG_3ed06b291d,NAGAPATTINAM
SEG_611f1cba14,NAGAPATTINAM
SEG_c19d64ce46,NAGAPATTINAM
SEG_b0e034b14b,THANJAVUR
SEG_6f22f20f9c,NAGAPATTINAM
SEG_a7e5a93fa9,NAGAPATTINAM
SEG_38d54a0655,NAGAPATTINAM
SEG_55ca1b4542,THANJAVUR
SEG_455dabee6d,THANJAVUR
SEG_34a47a767b,THANJAVUR
SEG_8a43daa2c4,THANJAVUR
SEG_b55fc8446f,THANJAVUR
SEG_47c12975f3,THANJAVUR
SEG_a2609c92c3,NAGAPATTINAM
SEG_d98a272543,NAGAPATTINAM
SEG_d2352d6637,NAGAPATTINAM
SEG_678a0b3280,NAGAPATTINAM
SEG_78a9cc0413,NAGAPATTINAM
SEG_540076cf14,NAGAPATTINAM
SEG_5545518d24,NAGAPATTINAM
SEG_a0a52421ef,NAGAPATTINAM
SEG_f2cc6031be,NAGAPATTINAM
SEG_c384632466,NAGAPATTINAM
SEG_1e44f97c0c,NAGAPATTINAM
SEG_a9ef27f858,NAGAPATTINAM
SEG_e027941a11,NAGAPATTINAM
SEG_575719b5c7,NAGAPATTINAM
SEG_1e3ae5fe2d,KARAIKAL
SEG_d7a1f7664e,THANJAVUR
SEG_819dc2f1cb,KARAIKAL
SEG_e98758c6d1,KARAIKAL
SEG_f5f9e73f4c,KARAIKAL
SEG_b16cd3329b,KARAIKAL
SEG_3f840e833c,KARAIKAL
SEG_2df2098ec6,THANJAVUR
SEG_f2b6dabce6,THANJAVUR
